iter	RMSE
0	4887.029742
1	4832.79132
2	4791.73487
3	4745.18369
4	4704.935008
5	4664.892812
6	4632.603507
7	4601.674111
8	4574.080801
9	4552.96474
10	4533.010829
11	4512.140303
12	4494.033808
13	4476.181806
14	4461.071826
15	4448.99202
16	4436.496774
17	4428.890901
18	4418.897732
19	4407.882549
20	4400.16914
21	4392.818206
22	4386.127341
23	4379.781071
24	4375.34885
25	4370.49959
26	4368.304184
27	4361.474826
28	4356.466369
29	4354.211442
30	4350.815584
31	4348.396627
32	4345.359445
33	4343.100143
34	4339.61802
35	4337.387525
36	4334.009854
37	4332.808024
38	4331.132506
39	4328.992793
40	4326.917885
41	4325.65184
42	4325.223303
43	4324.213473
44	4322.541629
45	4321.636281
46	4319.458337
47	4318.216481
48	4314.681959
49	4314.09081
50	4313.123983
51	4312.584901
52	4309.011146
53	4308.365028
54	4307.235386
55	4307.077833
56	4306.654732
57	4305.741102
58	4304.486437
59	4304.425612
60	4303.835715
61	4303.434303
62	4303.412407
63	4302.955326
64	4302.132652
65	4301.333021
66	4300.964606
67	4299.825014
68	4299.67568
69	4297.538447
70	4297.490974
71	4296.744625
72	4296.05229
73	4294.231041
74	4294.084118
75	4294.02232
76	4293.3325
77	4291.642938
78	4291.560644
79	4291.4803
80	4290.557256
81	4290.25861
82	4290.209313
83	4289.466457
84	4289.18387
85	4288.999404
86	4288.72001
87	4287.867614
88	4286.001008
89	4285.410851
90	4285.356567
91	4284.89241
92	4283.343002
93	4282.731916
94	4282.264556
95	4281.992056
96	4281.633788
97	4280.219441
98	4280.058732
99	4279.878473
100	4278.963826
101	4278.755764
102	4277.600283
103	4277.343593
104	4276.922283
105	4276.914481
106	4275.640237
107	4273.7987
108	4273.356679
109	4273.049873
110	4272.78164
111	4272.558295
112	4272.406476
113	4271.27149
114	4270.883024
115	4270.866643
116	4270.46618
117	4270.456632
118	4270.381952
119	4270.357427
120	4269.101175
121	4269.018518
122	4268.224317
123	4267.947845
124	4267.884085
125	4266.810548
126	4266.044226
127	4266.041
128	4265.472086
129	4265.004087
130	4264.438662
131	4263.645083
132	4263.613089
133	4263.568953
134	4263.333039
135	4263.141267
136	4261.953664
137	4261.2995
138	4259.62868
139	4259.006052
140	4258.981319
141	4258.806023
142	4258.236124
143	4258.08579
144	4257.996248
145	4257.633542
146	4257.200145
147	4257.073304
148	4256.408486
149	4256.408485
150	4256.399775
151	4255.307037
152	4254.740347
153	4254.623565
154	4254.543845
155	4254.434407
156	4253.944349
157	4253.258759
158	4252.761103
159	4252.525022
160	4251.884899
161	4251.143029
162	4250.12386
163	4249.504009
164	4248.143883
165	4247.683156
166	4247.313287
167	4247.077178
168	4246.662597
169	4245.775466
170	4245.163789
171	4244.801838
172	4244.407952
173	4243.206531
174	4243.008169
175	4242.342798
176	4241.90401
177	4241.30342
178	4240.268679
179	4240.253258
180	4239.867045
181	4239.508151
182	4238.575089
183	4237.977491
184	4237.955381
185	4236.842558
186	4235.913684
187	4235.353796
188	4235.232329
189	4234.728837
190	4234.280145
191	4233.296754
192	4232.897714
193	4232.436826
194	4231.872384
195	4231.765383
196	4230.92208
197	4230.09458
198	4229.83403
199	4229.693805
200	4229.341162
201	4229.068556
202	4228.800114
203	4227.984791
204	4227.594828
205	4227.219432
206	4226.834822
207	4226.5371
208	4226.195808
209	4225.461686
210	4225.122243
211	4224.74466
212	4224.431692
213	4224.053173
214	4223.861477
215	4223.132183
216	4222.860015
217	4222.440456
218	4222.134846
219	4221.797778
220	4221.407413
221	4221.076121
222	4220.668492
223	4219.894477
224	4219.285224
225	4218.985682
226	4218.45128
227	4217.982168
228	4217.60776
229	4217.37743
230	4216.988081
231	4216.453733
232	4216.168066
233	4215.936199
234	4215.596191
235	4214.919541
236	4214.769782
237	4214.492211
238	4213.969338
239	4213.735379
240	4213.225282
241	4212.536901
242	4212.163821
243	4211.572896
244	4210.984567
245	4210.355314
246	4210.094341
247	4209.747637
248	4209.603197
249	4209.009758
250	4208.56392
251	4208.118527
252	4207.886535
253	4207.694796
254	4207.493973
255	4207.365406
256	4206.840629
257	4206.569886
258	4206.004422
259	4205.107741
260	4204.534358
261	4203.959937
262	4203.558719
263	4203.015779
264	4202.810124
265	4202.409813
266	4202.089765
267	4201.731855
268	4201.61002
269	4201.458978
270	4200.942822
271	4200.56072
272	4200.093144
273	4199.726213
274	4199.273327
275	4198.931861
276	4198.128597
277	4197.644504
278	4197.400383
279	4197.096662
280	4196.65004
281	4196.170151
282	4195.99358
283	4195.699828
284	4195.170429
285	4194.870973
286	4194.216654
287	4193.479357
288	4193.021078
289	4192.560065
290	4192.358967
291	4192.092415
292	4191.82354
293	4191.5646
294	4191.224583
295	4190.905207
296	4190.502622
297	4190.056904
298	4189.813998
299	4189.315132
300	4188.93377
301	4188.503936
302	4188.09122
303	4187.879444
304	4187.420628
305	4187.19449
306	4186.796902
307	4186.513189
308	4186.394903
309	4186.03421
310	4185.824339
311	4185.654302
312	4185.232291
313	4184.845594
314	4184.474706
315	4184.243823
316	4183.833901
317	4183.511201
318	4183.12892
319	4182.916648
320	4182.50013
321	4182.258253
322	4181.905898
323	4181.72626
324	4181.357925
325	4180.99053
326	4180.878255
327	4180.476887
328	4180.311659
329	4180.064547
330	4179.871035
331	4179.665228
332	4179.338682
333	4178.997977
334	4178.606148
335	4178.418463
336	4178.110553
337	4177.75407
338	4177.582849
339	4177.228834
340	4176.999579
341	4176.767432
342	4176.472524
343	4176.397993
344	4176.114321
345	4175.764014
346	4175.420661
347	4175.25259
348	4175.012161
349	4174.828058
350	4174.535223
351	4174.263789
352	4173.967881
353	4173.695277
354	4173.340081
355	4173.19377
356	4172.96849
357	4172.707217
358	4172.514753
359	4172.192113
360	4171.980521
361	4171.623835
362	4171.512269
363	4171.034127
364	4170.755868
365	4170.418277
366	4170.147208
367	4169.962008
368	4169.556773
369	4169.238587
370	4169.010662
371	4168.708916
372	4168.432703
373	4168.147685
374	4167.824123
375	4167.512847
376	4167.341963
377	4167.072374
378	4166.751338
379	4166.497584
380	4166.187053
381	4166.02537
382	4165.876941
383	4165.376148
384	4165.237355
385	4165.151665
386	4164.985244
387	4164.703847
388	4164.525105
389	4164.429193
390	4164.274936
391	4163.989861
392	4163.85901
393	4163.214227
394	4162.966952
395	4162.775707
396	4162.69774
397	4162.445437
398	4162.178258
399	4161.951084
400	4161.748884
401	4161.497203
402	4161.391139
403	4161.206695
404	4160.927339
405	4160.750957
406	4160.453283
407	4160.17039
408	4159.993294
409	4159.400544
410	4159.348582
411	4159.13552
412	4158.929416
413	4158.808305
414	4158.530136
415	4158.348252
416	4158.097458
417	4157.848127
418	4157.750977
419	4157.662611
420	4157.472326
421	4157.176299
422	4157.051914
423	4156.944636
424	4156.751923
425	4156.495455
426	4156.3835
427	4156.193809
428	4155.937616
429	4155.712923
430	4155.61861
431	4155.516237
432	4155.319122
433	4155.153907
434	4154.904371
435	4154.847571
436	4154.755681
437	4154.596013
438	4154.311752
439	4154.111987
440	4153.947477
441	4153.727271
442	4153.55142
443	4153.314189
444	4153.066131
445	4152.744499
446	4152.583432
447	4152.494413
448	4152.251814
449	4151.987453
450	4151.882813
451	4151.665607
452	4151.470124
453	4151.334509
454	4151.16183
455	4151.001033
456	4150.797238
457	4150.574592
458	4150.38357
459	4150.175793
460	4149.884804
461	4149.561744
462	4149.340133
463	4148.925379
464	4148.817654
465	4148.631211
466	4148.415379
467	4148.268593
468	4148.009142
469	4147.884508
470	4147.594084
471	4147.49219
472	4147.218677
473	4147.009568
474	4146.916121
475	4146.836738
476	4146.641144
477	4146.394519
478	4146.227601
479	4146.045948
480	4145.784125
481	4145.641053
482	4145.584177
483	4145.40549
484	4145.326141
485	4144.956876
486	4144.879519
487	4144.833943
488	4144.659637
489	4144.522367
490	4144.436494
491	4144.386403
492	4144.271479
493	4144.031155
494	4143.706552
495	4143.429656
496	4143.300232
497	4143.082524
498	4142.926581
499	4142.626568
500	4142.55594
501	4142.379917
502	4142.210895
503	4142.068204
504	4141.994314
505	4141.87384
506	4141.680414
507	4141.508731
508	4141.421999
509	4141.299897
510	4141.022558
511	4140.946658
512	4140.901992
513	4140.722631
514	4140.569455
515	4140.414608
516	4140.213775
517	4140.144168
518	4140.079404
519	4139.821343
520	4139.755899
521	4139.537209
522	4139.357254
523	4139.171164
524	4138.711678
525	4138.461741
526	4138.40304
527	4138.160335
528	4138.02037
529	4137.791249
530	4137.6895
531	4137.473197
532	4137.377219
533	4137.251307
534	4137.087802
535	4137.050194
536	4136.841373
537	4136.737968
538	4136.534587
539	4136.342459
540	4136.098309
541	4136.056912
542	4135.961982
543	4135.765771
544	4135.640189
545	4135.459893
546	4135.289457
547	4135.105032
548	4134.945096
549	4134.687085
550	4134.599284
551	4134.472949
552	4134.38914
553	4134.184877
554	4133.988845
555	4133.841754
556	4133.647784
557	4133.569069
558	4133.413182
559	4133.363227
560	4133.241875
561	4133.135106
562	4132.9029
563	4132.552469
564	4132.408364
565	4132.309568
566	4132.14053
567	4132.102731
568	4131.965703
569	4131.850441
570	4131.680894
571	4131.514157
572	4131.33571
573	4131.158817
574	4130.935699
575	4130.826589
576	4130.757411
577	4130.569846
578	4130.422444
579	4130.350929
580	4130.177047
581	4130.107949
582	4130.023794
583	4129.725136
584	4129.66165
585	4129.534205
