iter	Passed	Remaining
0	20	20654
1	39	19524
2	56	18892
3	87	21721
4	114	22833
5	137	22850
6	161	22951
7	180	22365
8	200	22127
9	211	20942
10	221	19898
11	228	18826
12	236	17944
13	243	17163
14	251	16501
15	259	15929
16	267	15489
17	274	14999
18	282	14565
19	288	14152
20	296	13803
21	303	13498
22	311	13251
23	319	12985
24	326	12721
25	333	12489
26	340	12264
27	347	12063
28	355	11895
29	362	11716
30	369	11548
31	376	11398
32	383	11246
33	390	11106
34	398	10986
35	406	10874
36	413	10752
37	420	10636
38	427	10532
39	433	10415
40	440	10297
41	447	10210
42	454	10104
43	461	10028
44	469	9955
45	476	9890
46	483	9806
47	490	9730
48	497	9660
49	504	9582
50	512	9528
51	518	9449
52	525	9396
53	533	9351
54	540	9295
55	548	9248
56	557	9215
57	564	9173
58	573	9146
59	581	9111
60	589	9070
61	596	9023
62	604	8991
63	612	8961
64	620	8921
65	627	8881
66	634	8838
67	642	8810
68	650	8776
69	658	8752
70	666	8717
71	674	8693
72	682	8662
73	690	8637
74	697	8607
75	707	8601
76	714	8570
77	722	8544
78	730	8521
79	739	8502
80	747	8475
81	755	8452
82	762	8419
83	770	8397
84	777	8371
85	786	8354
86	793	8325
87	801	8306
88	809	8282
89	818	8273
90	825	8246
91	833	8224
92	840	8198
93	849	8190
94	857	8170
95	866	8156
96	873	8132
97	881	8112
98	888	8087
99	896	8071
100	904	8046
101	911	8028
102	919	8009
103	926	7984
104	934	7964
105	940	7936
106	948	7914
107	955	7890
108	962	7869
109	969	7844
110	976	7822
111	983	7799
112	990	7774
113	998	7758
114	1005	7739
115	1013	7726
116	1020	7702
117	1027	7682
118	1034	7655
119	1040	7631
120	1047	7611
121	1054	7588
122	1061	7571
123	1068	7546
124	1075	7527
125	1082	7505
126	1088	7485
127	1095	7463
128	1101	7438
129	1109	7427
130	1116	7409
131	1124	7397
132	1131	7377
133	1138	7360
134	1145	7341
135	1152	7320
136	1160	7307
137	1166	7286
138	1174	7273
139	1181	7255
140	1188	7237
141	1194	7217
142	1200	7195
143	1207	7179
144	1214	7159
145	1222	7149
146	1229	7131
147	1236	7117
148	1243	7102
149	1251	7090
150	1258	7077
151	1265	7062
152	1273	7047
153	1280	7032
154	1287	7019
155	1294	7001
156	1300	6984
157	1307	6965
158	1314	6951
159	1321	6939
160	1328	6923
161	1335	6909
162	1342	6893
163	1349	6879
164	1356	6864
165	1363	6852
166	1371	6840
167	1378	6824
168	1385	6810
169	1391	6792
170	1398	6778
171	1404	6761
172	1410	6745
173	1417	6730
174	1424	6713
175	1432	6706
176	1440	6696
177	1448	6687
178	1454	6672
179	1461	6658
180	1468	6644
181	1475	6629
182	1481	6615
183	1488	6600
184	1495	6587
185	1502	6577
186	1511	6569
187	1518	6557
188	1525	6547
189	1532	6532
190	1539	6518
191	1546	6509
192	1553	6496
193	1560	6483
194	1567	6469
195	1573	6454
196	1580	6440
197	1586	6427
198	1594	6417
199	1600	6403
200	1607	6391
201	1614	6377
202	1621	6364
203	1628	6355
204	1635	6342
205	1643	6334
206	1649	6319
207	1656	6308
208	1663	6297
209	1670	6284
210	1677	6272
211	1683	6257
212	1690	6246
213	1697	6233
214	1704	6222
215	1711	6210
216	1718	6201
217	1725	6191
218	1733	6181
219	1741	6173
220	1747	6159
221	1754	6148
222	1760	6135
223	1767	6123
224	1774	6112
225	1781	6099
226	1788	6088
227	1794	6075
228	1801	6065
229	1808	6054
230	1815	6044
231	1823	6036
232	1831	6029
233	1838	6018
234	1845	6006
235	1852	5997
236	1859	5984
237	1866	5974
238	1872	5962
239	1879	5950
240	1885	5938
241	1893	5930
242	1901	5922
243	1908	5913
244	1916	5905
245	1923	5894
246	1930	5884
247	1936	5873
248	1943	5862
249	1951	5853
250	1957	5841
251	1964	5831
252	1970	5819
253	1977	5808
254	1984	5797
255	1991	5787
256	1999	5779
257	2005	5768
258	2013	5759
259	2020	5749
260	2027	5741
261	2034	5731
262	2041	5720
263	2048	5709
264	2053	5696
265	2060	5686
266	2068	5677
267	2075	5669
268	2082	5658
269	2088	5646
270	2095	5637
271	2102	5626
272	2108	5616
273	2115	5604
274	2121	5593
275	2129	5586
276	2137	5578
277	2145	5571
278	2152	5561
279	2160	5555
280	2167	5545
281	2174	5536
282	2181	5525
283	2188	5517
284	2195	5507
285	2202	5498
286	2208	5487
287	2215	5476
288	2222	5467
289	2228	5456
290	2236	5449
291	2242	5438
292	2250	5431
293	2257	5420
294	2264	5412
295	2271	5402
296	2279	5395
297	2286	5385
298	2292	5375
299	2300	5367
300	2307	5358
301	2314	5349
302	2321	5339
303	2327	5328
304	2334	5319
305	2340	5309
306	2348	5300
307	2354	5289
308	2361	5280
309	2367	5269
310	2373	5258
311	2380	5249
312	2386	5238
313	2394	5230
314	2401	5222
315	2408	5213
316	2415	5204
317	2421	5193
318	2428	5185
319	2435	5175
320	2442	5165
321	2448	5156
322	2455	5145
323	2462	5137
324	2468	5127
325	2475	5118
326	2482	5108
327	2489	5099
328	2496	5090
329	2502	5080
330	2509	5071
331	2515	5061
332	2522	5051
333	2528	5041
334	2535	5032
335	2542	5024
336	2548	5014
337	2555	5005
338	2562	4996
339	2569	4986
340	2576	4979
341	2583	4970
342	2590	4962
343	2596	4952
344	2603	4942
345	2609	4932
346	2616	4922
347	2623	4915
348	2631	4908
349	2638	4900
350	2645	4891
351	2652	4882
352	2658	4872
353	2664	4862
354	2672	4855
355	2679	4847
356	2687	4840
357	2693	4830
358	2700	4822
359	2707	4813
360	2714	4804
361	2720	4795
362	2727	4787
363	2735	4779
364	2741	4770
365	2748	4761
366	2755	4752
367	2762	4743
368	2769	4736
369	2776	4727
370	2782	4718
371	2789	4709
372	2795	4699
373	2802	4690
374	2808	4681
375	2815	4673
376	2822	4664
377	2830	4657
378	2837	4649
379	2844	4640
380	2851	4632
381	2857	4623
382	2864	4614
383	2870	4605
384	2877	4597
385	2884	4588
386	2890	4578
387	2897	4569
388	2903	4559
389	2909	4550
390	2916	4542
391	2923	4534
392	2930	4526
393	2936	4517
394	2943	4508
395	2949	4498
396	2955	4489
397	2962	4480
398	2968	4471
399	2974	4462
400	2981	4453
401	2987	4444
402	2995	4436
403	3002	4429
404	3009	4420
405	3015	4411
406	3021	4402
407	3029	4395
408	3035	4386
409	3043	4379
410	3050	4371
411	3055	4361
412	3062	4352
413	3069	4344
414	3076	4337
415	3083	4329
416	3090	4320
417	3096	4311
418	3103	4303
419	3110	4295
420	3117	4287
421	3125	4280
422	3131	4271
423	3138	4263
424	3144	4254
425	3150	4245
426	3157	4237
427	3164	4228
428	3170	4220
429	3177	4211
430	3183	4203
431	3191	4196
432	3197	4186
433	3205	4180
434	3211	4171
435	3217	4162
436	3225	4155
437	3231	4146
438	3239	4139
439	3245	4131
440	3252	4123
441	3258	4114
442	3265	4106
443	3273	4099
444	3280	4090
445	3287	4083
446	3294	4075
447	3301	4068
448	3308	4060
449	3315	4052
450	3322	4044
451	3329	4036
452	3336	4029
453	3343	4021
454	3350	4013
455	3356	4003
456	3362	3995
457	3369	3987
458	3375	3978
459	3382	3970
460	3388	3962
461	3395	3954
462	3402	3946
463	3408	3937
464	3416	3930
465	3424	3923
466	3431	3916
467	3437	3907
468	3443	3898
469	3450	3890
470	3457	3883
471	3465	3876
472	3472	3868
473	3480	3861
474	3487	3854
475	3494	3846
476	3500	3838
477	3507	3830
478	3513	3821
479	3520	3813
480	3526	3805
481	3532	3796
482	3540	3789
483	3546	3780
484	3552	3772
485	3559	3764
486	3566	3756
487	3573	3748
488	3580	3741
489	3587	3734
490	3594	3726
491	3601	3718
492	3608	3711
493	3616	3703
494	3622	3695
495	3629	3688
496	3636	3680
497	3642	3671
498	3648	3663
499	3655	3655
500	3662	3647
501	3669	3639
502	3675	3631
503	3682	3624
504	3689	3616
505	3695	3607
506	3702	3599
507	3708	3591
508	3715	3583
509	3722	3576
510	3728	3568
511	3735	3560
512	3741	3552
513	3748	3544
514	3755	3536
515	3762	3529
516	3769	3521
517	3776	3513
518	3782	3505
519	3789	3498
520	3795	3489
521	3802	3481
522	3808	3473
523	3815	3466
524	3823	3459
525	3831	3452
526	3839	3446
527	3847	3439
528	3853	3431
529	3860	3423
530	3867	3416
531	3874	3408
532	3881	3400
533	3888	3393
534	3895	3385
535	3902	3377
536	3908	3370
537	3915	3361
538	3921	3353
539	3928	3346
540	3935	3338
541	3942	3331
542	3949	3324
543	3956	3316
544	3963	3308
545	3969	3300
546	3977	3293
547	3983	3285
548	3990	3278
549	3996	3270
550	4003	3262
551	4010	3254
552	4017	3247
553	4025	3240
554	4032	3233
555	4040	3226
556	4046	3218
557	4053	3210
558	4060	3203
559	4067	3195
560	4075	3189
561	4082	3182
562	4090	3175
563	4097	3167
564	4104	3160
565	4110	3151
566	4116	3143
567	4123	3136
568	4130	3128
569	4136	3120
570	4142	3112
571	4148	3104
572	4156	3097
573	4162	3089
574	4169	3081
575	4175	3073
576	4182	3065
577	4188	3058
578	4194	3050
579	4200	3041
580	4207	3034
581	4213	3026
582	4222	3020
583	4229	3012
584	4236	3005
585	4243	2997
586	4249	2990
587	4256	2982
588	4262	2974
589	4269	2967
590	4276	2959
591	4283	2952
592	4290	2944
593	4297	2937
594	4304	2929
595	4311	2922
596	4318	2915
597	4325	2908
598	4333	2901
599	4340	2893
600	4348	2886
601	4354	2879
602	4360	2871
603	4368	2863
604	4375	2856
605	4381	2848
606	4388	2841
607	4394	2833
608	4401	2825
609	4408	2818
610	4415	2811
611	4422	2803
612	4429	2796
613	4435	2788
614	4441	2780
615	4448	2773
616	4454	2765
617	4462	2758
618	4469	2750
619	4476	2743
620	4482	2735
621	4488	2727
622	4496	2720
623	4502	2713
624	4510	2706
625	4516	2698
626	4523	2691
627	4530	2683
628	4536	2675
629	4543	2668
630	4550	2661
631	4556	2653
632	4563	2645
633	4570	2638
634	4578	2631
635	4585	2624
636	4592	2616
637	4599	2609
638	4605	2601
639	4613	2594
640	4620	2587
641	4627	2580
642	4633	2572
643	4640	2565
644	4647	2557
645	4653	2550
646	4660	2542
647	4667	2535
648	4675	2528
649	4681	2520
650	4688	2513
651	4695	2506
652	4701	2498
653	4709	2491
654	4715	2483
655	4722	2476
656	4728	2468
657	4735	2461
658	4741	2453
659	4748	2446
660	4755	2438
661	4761	2431
662	4769	2424
663	4776	2416
664	4782	2409
665	4790	2402
666	4796	2394
667	4804	2387
668	4811	2380
669	4817	2373
670	4824	2365
671	4831	2358
672	4838	2351
673	4845	2343
674	4852	2336
675	4860	2329
676	4867	2322
677	4874	2314
678	4881	2307
679	4888	2300
680	4895	2293
681	4902	2285
682	4909	2278
683	4915	2271
684	4922	2263
685	4928	2256
686	4935	2248
687	4942	2241
688	4948	2233
689	4955	2226
690	4963	2219
691	4970	2212
692	4977	2204
693	4983	2197
694	4990	2190
695	4999	2183
696	5006	2176
697	5018	2171
698	5029	2165
699	5042	2161
700	5050	2154
701	5057	2147
702	5065	2140
703	5074	2133
704	5080	2125
705	5086	2118
706	5093	2110
707	5098	2102
708	5106	2095
709	5112	2088
710	5119	2081
711	5127	2073
712	5134	2066
713	5141	2059
714	5147	2051
715	5154	2044
716	5160	2036
717	5167	2029
718	5174	2022
719	5181	2014
720	5188	2007
721	5195	2000
722	5201	1992
723	5208	1985
724	5216	1978
725	5223	1971
726	5230	1964
727	5238	1957
728	5244	1949
729	5251	1942
730	5257	1934
731	5263	1927
732	5270	1919
733	5277	1912
734	5284	1905
735	5290	1897
736	5297	1890
737	5304	1883
738	5310	1875
739	5317	1868
740	5323	1860
741	5331	1853
742	5338	1846
743	5345	1839
744	5352	1832
745	5360	1825
746	5367	1817
747	5374	1810
748	5382	1803
749	5389	1796
750	5396	1789
751	5403	1781
752	5410	1774
753	5417	1767
754	5423	1760
755	5430	1752
756	5436	1745
757	5442	1737
758	5449	1730
759	5456	1722
760	5463	1715
761	5470	1708
762	5476	1701
763	5483	1693
764	5489	1686
765	5496	1679
766	5503	1671
767	5509	1664
768	5517	1657
769	5523	1649
770	5530	1642
771	5536	1635
772	5543	1627
773	5549	1620
774	5556	1613
775	5562	1605
776	5568	1598
777	5575	1590
778	5582	1583
779	5589	1576
780	5595	1569
781	5603	1562
782	5611	1555
783	5617	1547
784	5624	1540
785	5630	1533
786	5637	1525
787	5644	1518
788	5650	1511
789	5658	1504
790	5666	1497
791	5674	1490
792	5681	1482
793	5688	1475
794	5695	1468
795	5702	1461
796	5709	1454
797	5715	1446
798	5723	1439
799	5731	1432
800	5738	1425
801	5745	1418
802	5753	1411
803	5760	1404
804	5766	1396
805	5773	1389
806	5779	1382
807	5787	1375
808	5795	1368
809	5803	1361
810	5809	1353
811	5816	1346
812	5822	1339
813	5828	1331
814	5835	1324
815	5842	1317
816	5849	1310
817	5856	1303
818	5863	1295
819	5871	1288
820	5878	1281
821	5885	1274
822	5891	1267
823	5898	1259
824	5904	1252
825	5910	1245
826	5916	1237
827	5923	1230
828	5930	1223
829	5938	1216
830	5944	1208
831	5951	1201
832	5958	1194
833	5964	1187
834	5971	1180
835	5979	1172
836	5986	1165
837	5993	1158
838	6001	1151
839	6008	1144
840	6016	1137
841	6023	1130
842	6029	1122
843	6036	1115
844	6042	1108
845	6050	1101
846	6057	1094
847	6064	1087
848	6070	1079
849	6078	1072
850	6084	1065
851	6091	1058
852	6098	1050
853	6104	1043
854	6110	1036
855	6117	1029
856	6123	1021
857	6129	1014
858	6136	1007
859	6143	1000
860	6150	992
861	6157	985
862	6164	978
863	6172	971
864	6179	964
865	6186	957
866	6192	950
867	6201	943
868	6207	935
869	6214	928
870	6221	921
871	6227	914
872	6234	906
873	6241	899
874	6249	892
875	6256	885
876	6262	878
877	6269	871
878	6275	863
879	6283	856
880	6289	849
881	6296	842
882	6302	835
883	6309	827
884	6315	820
885	6321	813
886	6328	806
887	6334	799
888	6341	791
889	6348	784
890	6355	777
891	6362	770
892	6369	763
893	6376	756
894	6383	748
895	6390	741
896	6398	734
897	6405	727
898	6411	720
899	6418	713
900	6425	706
901	6432	698
902	6439	691
903	6447	684
904	6453	677
905	6460	670
906	6467	663
907	6474	656
908	6480	648
909	6487	641
910	6493	634
911	6500	627
912	6507	620
913	6513	612
914	6519	605
915	6526	598
916	6533	591
917	6540	584
918	6546	577
919	6552	569
920	6560	562
921	6567	555
922	6575	548
923	6582	541
924	6590	534
925	6597	527
926	6604	520
927	6611	512
928	6616	505
929	6623	498
930	6630	491
931	6637	484
932	6643	477
933	6649	469
934	6656	462
935	6663	455
936	6670	448
937	6676	441
938	6682	434
939	6689	426
940	6696	419
941	6703	412
942	6710	405
943	6717	398
944	6725	391
945	6732	384
946	6739	377
947	6746	370
948	6753	362
949	6760	355
950	6766	348
951	6773	341
952	6779	334
953	6786	327
954	6793	320
955	6800	312
956	6807	305
957	6813	298
958	6820	291
959	6826	284
960	6832	277
961	6839	270
962	6845	263
963	6852	255
964	6858	248
965	6865	241
966	6872	234
967	6879	227
968	6885	220
969	6891	213
970	6898	206
971	6904	198
972	6910	191
973	6917	184
974	6923	177
975	6930	170
976	6936	163
977	6943	156
978	6950	149
979	6957	141
980	6965	134
981	6972	127
982	6979	120
983	6985	113
984	6992	106
985	6998	99
986	7005	92
987	7012	85
988	7019	78
989	7026	70
990	7032	63
991	7038	56
992	7045	49
993	7051	42
994	7058	35
995	7065	28
996	7071	21
997	7078	14
998	7084	7
999	7091	0
